"id";"recipeid";"productid";"amount";"creationdate";"creationuser";"updatedate";"updateuser"
70;147;81;"100,00";30/03/2013 10:01:51;"HANS";30/03/2013 10:01:51;"HANS"
71;159;157;"140,00";01/04/2013 18:58:51;"INGE";01/04/2013 18:59:54;"INGE"
72;159;158;"15,00";01/04/2013 18:59:11;"INGE";01/04/2013 18:59:54;"INGE"
73;159;45;"2,00";01/04/2013 18:59:27;"INGE";01/04/2013 18:59:54;"INGE"
74;161;135;"750,00";03/04/2013 22:55:04;"HANS";10/04/2013 19:42:11;"HANS"
75;161;128;"70,00";03/04/2013 22:55:25;"HANS";10/04/2013 19:42:11;"HANS"
76;161;62;"1,00";03/04/2013 22:55:57;"HANS";10/04/2013 19:42:11;"HANS"
77;161;126;"85,00";03/04/2013 22:56:28;"HANS";10/04/2013 19:42:11;"HANS"
78;161;80;"150,00";03/04/2013 22:56:55;"HANS";10/04/2013 19:42:11;"HANS"
79;161;129;"250,00";03/04/2013 22:57:11;"HANS";10/04/2013 19:42:11;"HANS"
80;164;28;"585,00";05/04/2013 18:19:27;"HANS";05/04/2013 19:40:31;"HANS"
82;164;131;"1,00";05/04/2013 18:20:34;"HANS";05/04/2013 19:40:31;"HANS"
83;164;27;"50,00";05/04/2013 18:21:42;"HANS";05/04/2013 19:40:31;"HANS"
84;164;166;"4,00";05/04/2013 18:25:21;"HANS";05/04/2013 19:40:31;"HANS"
85;164;165;"350,00";05/04/2013 18:25:45;"HANS";05/04/2013 19:40:31;"HANS"
86;164;112;"2,00";05/04/2013 18:27:40;"HANS";05/04/2013 19:40:31;"HANS"
87;134;135;"1000,00";08/04/2013 20:07:39;"HANS";08/04/2013 20:07:39;"HANS"
88;182;68;"120,00";10/04/2013 19:43:42;"HANS";10/04/2013 19:50:33;"HANS"
89;182;112;"2,00";10/04/2013 19:44:06;"HANS";10/04/2013 19:50:33;"HANS"
90;182;77;"0,20";10/04/2013 19:45:40;"HANS";10/04/2013 19:50:33;"HANS"
91;182;62;"0,20";10/04/2013 19:50:29;"HANS";10/04/2013 19:50:33;"HANS"
92;183;62;"1,00";11/04/2013 11:23:28;"INGE";11/04/2013 11:24:07;"INGE"
93;185;184;"600,00";12/04/2013 09:43:04;"INGE";12/04/2013 09:45:14;"INGE"
94;185;112;"1,00";12/04/2013 09:43:18;"INGE";12/04/2013 09:45:14;"INGE"
95;185;27;"150,00";12/04/2013 09:43:31;"INGE";12/04/2013 09:45:14;"INGE"
96;185;131;"0,50";12/04/2013 09:43:46;"INGE";12/04/2013 09:45:14;"INGE"
97;185;114;"400,00";12/04/2013 09:44:29;"INGE";12/04/2013 09:45:14;"INGE"
98;186;187;"812,00";12/04/2013 09:53:24;"INGE";12/04/2013 19:20:27;"INGE"
99;186;131;"0,50";12/04/2013 09:53:37;"INGE";12/04/2013 19:20:27;"INGE"
101;188;174;"800,00";12/04/2013 10:01:34;"INGE";12/04/2013 17:29:15;"HANS"
102;188;77;"1,50";12/04/2013 10:01:50;"INGE";12/04/2013 17:29:15;"HANS"
103;188;111;"40,00";12/04/2013 10:02:28;"INGE";12/04/2013 17:29:15;"HANS"
104;188;27;"90,00";12/04/2013 10:02:43;"INGE";12/04/2013 17:29:15;"HANS"
105;186;130;"12,00";12/04/2013 13:46:43;"INGE";12/04/2013 19:20:27;"INGE"
106;186;63;"1000,00";12/04/2013 13:49:33;"INGE";12/04/2013 19:20:27;"INGE"
107;186;127;"50,00";12/04/2013 19:18:08;"INGE";12/04/2013 19:20:27;"INGE"
